"net1","net2","mean_full","mean_pos","mean_neg","n_edges","subject","condition"
"Subcortex","Vis",0.00859580166010343,0.145519321400827,-0.128919180368917,928,"sub-002","PLCB"
"Subcortex","SomMot",0.0469705910642431,0.139525307907803,-0.106701017186704,1120,"sub-002","PLCB"
"Subcortex","DorsAttn",-0.0280692005849011,0.112048036643239,-0.134416110024441,832,"sub-002","PLCB"
"Subcortex","SalVentAttn",0.0600670850854024,0.17986774790455,-0.127941254375304,704,"sub-002","PLCB"
"Subcortex","Limbic",0.00804555471708754,0.176962336997669,-0.159120794586493,384,"sub-002","PLCB"
"Subcortex","Cont",0.0446536811709952,0.159145071535274,-0.127083404375423,960,"sub-002","PLCB"
"Subcortex","Default",0.0847559953004356,0.193572266453129,-0.118057210466646,1472,"sub-002","PLCB"
"Subcortex","Subcortex",0.263940487590924,0.354297290968048,-0.0894351295770354,496,"sub-002","PLCB"
"Vis","Vis",0.374819743970909,0.430735914624247,-0.122970555747831,406,"sub-003","LSD"
"Vis","SomMot",0.257463650747276,0.287723513843143,-0.0736148513604534,1015,"sub-003","LSD"
"Vis","DorsAttn",0.254308302142753,0.310259807625487,-0.0993269412481193,754,"sub-003","LSD"
"Vis","SalVentAttn",0.210440990948374,0.253061029818071,-0.0826375479457124,638,"sub-003","LSD"
"Vis","Limbic",0.0925168134839108,0.163871974733744,-0.0921238615027696,348,"sub-003","LSD"
"Vis","Cont",-0.0127116889374436,0.157362810980378,-0.132764277114729,870,"sub-003","LSD"
"Vis","Default",0.02332531576404,0.181393673794457,-0.142512915472174,1334,"sub-003","LSD"
"Vis","Subcortex",0.114589017177984,0.169020155834414,-0.084809475689038,928,"sub-003","LSD"
"SomMot","Vis",0.257463650747276,0.287723513843143,-0.0736148513604534,1015,"sub-003","LSD"
"SomMot","SomMot",0.627564050469663,0.627564050469663,NA,595,"sub-003","LSD"
"SomMot","DorsAttn",0.338937109119347,0.362897369364644,-0.0820788923337267,910,"sub-003","LSD"
"SomMot","SalVentAttn",0.382052791700199,0.412890437616826,-0.13931857065767,770,"sub-003","LSD"
"SomMot","Limbic",0.0251415124038033,0.157528891669138,-0.129082960348597,420,"sub-003","LSD"
